item_id,description,uom,item_class,shelf_life_days
ITM0001,Sample item 1,KG,A,365
ITM0002,Sample item 2,EA,A,30
ITM0003,Sample item 3,KG,C,30
ITM0004,Sample item 4,CS,A,30
ITM0005,Sample item 5,LT,B,30
ITM0006,Sample item 6,CS,A,365
ITM0007,Sample item 7,EA,C,30
ITM0008,Sample item 8,CS,C,30
ITM0009,Sample item 9,LT,A,90
ITM0010,Sample item 10,EA,C,90
ITM0011,Sample item 11,KG,B,90
ITM0012,Sample item 12,EA,C,180
ITM0013,Sample item 13,CS,A,90
ITM0014,Sample item 14,KG,A,30
ITM0015,Sample item 15,EA,C,90
ITM0016,Sample item 16,LT,C,365
ITM0017,Sample item 17,KG,B,365
ITM0018,Sample item 18,KG,B,90
ITM0019,Sample item 19,CS,C,90
ITM0020,Sample item 20,EA,C,180
ITM0021,Sample item 21,LT,B,365
ITM0022,Sample item 22,KG,C,30
ITM0023,Sample item 23,EA,C,365
ITM0024,Sample item 24,CS,B,90
ITM0025,Sample item 25,LT,B,30
ITM0026,Sample item 26,EA,C,180
ITM0027,Sample item 27,KG,C,180
ITM0028,Sample item 28,LT,C,365
ITM0029,Sample item 29,EA,A,180
ITM0030,Sample item 30,LT,C,30
ITM0031,Sample item 31,EA,C,180
ITM0032,Sample item 32,LT,B,365
ITM0033,Sample item 33,KG,A,365
ITM0034,Sample item 34,KG,A,30
ITM0035,Sample item 35,LT,A,90
ITM0036,Sample item 36,KG,A,90
ITM0037,Sample item 37,LT,B,365
ITM0038,Sample item 38,EA,A,365
ITM0039,Sample item 39,LT,C,180
ITM0040,Sample item 40,CS,B,180
ITM0007,Duplicate key item,EA,A,90
ITM0041,,BOX,D,-5
