item_id,location_id,period,quantity
ITM0001,LOC006,2026-01,139
ITM0001,LOC006,2026-02,264
ITM0001,LOC006,2026-03,274
ITM0001,LOC006,2026-04,356
ITM0001,LOC006,2026-05,486
ITM0001,LOC006,2026-06,72
ITM0001,LOC006,2026-07,189
ITM0001,LOC006,2026-08,137
ITM0001,LOC006,2026-09,66
ITM0001,LOC006,2026-10,365
ITM0001,LOC006,2026-11,473
ITM0001,LOC006,2026-12,246
ITM0001,LOC009,2026-01,187
ITM0001,LOC009,2026-02,256
ITM0001,LOC009,2026-03,191
ITM0001,LOC009,2026-04,384
ITM0001,LOC009,2026-05,236
ITM0001,LOC009,2026-06,345
ITM0001,LOC009,2026-07,428
ITM0001,LOC009,2026-08,287
ITM0001,LOC009,2026-09,425
ITM0001,LOC009,2026-10,403
ITM0001,LOC009,2026-11,424
ITM0001,LOC009,2026-12,393
ITM0001,LOC010,2026-01,15
ITM0001,LOC010,2026-02,233
ITM0001,LOC010,2026-03,265
ITM0001,LOC010,2026-04,269
ITM0001,LOC010,2026-05,330
ITM0001,LOC010,2026-06,412
ITM0001,LOC010,2026-07,101
ITM0001,LOC010,2026-08,76
ITM0001,LOC010,2026-09,191
ITM0001,LOC010,2026-10,218
ITM0001,LOC010,2026-11,403
ITM0001,LOC010,2026-12,392
ITM0001,LOC001,2026-01,435
ITM0001,LOC001,2026-02,280
ITM0001,LOC001,2026-03,274
ITM0001,LOC001,2026-04,361
ITM0001,LOC001,2026-05,299
ITM0001,LOC001,2026-06,102
ITM0001,LOC001,2026-07,117
ITM0001,LOC001,2026-08,324
ITM0001,LOC001,2026-09,219
ITM0001,LOC001,2026-10,291
ITM0001,LOC001,2026-11,408
ITM0001,LOC001,2026-12,266
ITM0001,LOC003,2026-01,202
ITM0001,LOC003,2026-02,52
ITM0001,LOC003,2026-03,305
ITM0001,LOC003,2026-04,199
ITM0001,LOC003,2026-05,267
ITM0001,LOC003,2026-06,259
ITM0001,LOC003,2026-07,381
ITM0001,LOC003,2026-08,180
ITM0001,LOC003,2026-09,394
ITM0001,LOC003,2026-10,238
ITM0001,LOC003,2026-11,325
ITM0001,LOC003,2026-12,447
ITM0001,LOC007,2026-01,129
ITM0001,LOC007,2026-02,297
ITM0001,LOC007,2026-03,139
ITM0001,LOC007,2026-04,161
ITM0001,LOC007,2026-05,304
ITM0001,LOC007,2026-06,221
ITM0001,LOC007,2026-07,308
ITM0001,LOC007,2026-08,421
ITM0001,LOC007,2026-09,326
ITM0001,LOC007,2026-10,224
ITM0001,LOC007,2026-11,105
ITM0001,LOC007,2026-12,308
ITM0002,LOC001,2026-01,212
ITM0002,LOC001,2026-02,232
ITM0002,LOC001,2026-03,369
ITM0002,LOC001,2026-04,120
ITM0002,LOC001,2026-05,109
ITM0002,LOC001,2026-06,563
ITM0002,LOC001,2026-07,348
ITM0002,LOC001,2026-08,327
ITM0002,LOC001,2026-09,192
ITM0002,LOC001,2026-10,320
ITM0002,LOC001,2026-11,0
ITM0002,LOC001,2026-12,337
ITM0002,LOC009,2026-01,294
ITM0002,LOC009,2026-02,295
ITM0002,LOC009,2026-03,392
ITM0002,LOC009,2026-04,240
